,Source,Target,Type,Weight,book,group
0,Velerad,Geralt,Undirected,1,1,1
1,Geralt,Foltest,Undirected,5,1,1
2,Foltest,Geralt,Undirected,4,1,1
3,Adda,Geralt,Undirected,1,1,1
4,Geralt,Ostrit,Undirected,4,1,1
5,Ostrit,Geralt,Undirected,5,1,1
6,Ostrit,Foltest,Undirected,1,1,1
7,Ostrit,Velerad,Undirected,1,1,2
8,Foltest,Velerad,Undirected,1,1,1
9,Foltest,Adda,Undirected,1,1,1
10,Geralt,Adda,Undirected,2,1,1
11,Foltest,Two,Undirected,1,1,1
12,Yennefer,Nenneke,Undirected,2,1,1
13,Nenneke,Geralt,Undirected,12,1,1
14,Geralt,Nenneke,Undirected,12,1,1
15,Geralt,Iola,Undirected,4,1,1
16,Nenneke,Iola,Undirected,8,1,2
17,Roach,Geralt,Undirected,3,1,1
18,Two,Geralt,Undirected,2,1,1
19,Geralt,Roach,Undirected,4,1,1
20,Geralt,Nivellen,Undirected,14,1,1
21,Nivellen,Geralt,Undirected,11,1,1
22,Fenne,Geralt,Undirected,1,1,1
23,Geralt,Fenne,Undirected,1,1,1
24,Asse,Geralt,Undirected,2,1,1
25,Roach,Vereena,Undirected,2,1,2
26,Vereena,Geralt,Undirected,4,1,1
27,Vereena,Nivellen,Undirected,2,1,2
28,Hereward,Nenneke,Undirected,5,1,2
29,Hereward,Geralt,Undirected,4,1,1
30,Nenneke,Hereward,Undirected,4,1,2
31,Geralt,Hereward,Undirected,3,1,1
32,Nenneke,Falwick,Undirected,4,1,2
33,Falwick,Nenneke,Undirected,6,1,2
34,Geralt,Falwick,Undirected,5,1,1
35,Hereward,Falwick,Undirected,3,1,2
36,Falwick,Geralt,Undirected,3,1,1
37,Falwick,Hereward,Undirected,2,1,2
38,Geralt,Caldemeyn,Undirected,4,1,1
39,Caldemeyn,Geralt,Undirected,9,1,1
40,Stregobor,Count,Undirected,1,1,2
41,Stregobor,Geralt,Undirected,4,1,1
42,Geralt,Eltibald,Undirected,1,1,1
43,Stregobor,Fredefalk,Undirected,2,1,2
44,Geralt,Fredefalk,Undirected,2,1,1
45,Fredefalk,Geralt,Undirected,1,1,1
46,Geralt,Stregobor,Undirected,8,1,1
47,Fredefalk,Renfri,Undirected,2,1,2
48,Renfri,Fredefalk,Undirected,2,1,2
49,Nohorn,Geralt,Undirected,1,1,1
50,Nohorn,Tavik,Undirected,1,1,2
51,Civril,Tavik,Undirected,3,1,2
52,Tavik,Fifteen,Undirected,1,1,2
53,Fifteen,Tavik,Undirected,1,1,2
54,Civril,Renfri,Undirected,4,1,2
55,Renfri,Civril,Undirected,1,1,2
56,Renfri,Tavik,Undirected,1,1,2
57,Tavik,Renfri,Undirected,1,1,2
58,Tavik,Caldemeyn,Undirected,1,1,2
59,Renfri,Caldemeyn,Undirected,3,1,2
60,Caldemeyn,Renfri,Undirected,2,1,2
61,Geralt,Renfri,Undirected,11,1,1
62,Renfri,Audoen,Undirected,3,1,2
63,Audoen,Caldemeyn,Undirected,2,1,2
64,Geralt,Libushe,Undirected,1,1,1
65,Libushe,Geralt,Undirected,2,1,1
66,Renfri,Stregobor,Undirected,4,1,2
67,Geralt,Audoen,Undirected,2,1,1
68,Stregobor,Audoen,Undirected,1,1,2
69,Stregobor,Renfri,Undirected,8,1,2
70,Audoen,Renfri,Undirected,2,1,2
71,Renfri,Geralt,Undirected,8,1,1
72,Nohorn,Fifteen,Undirected,1,1,2
73,Nohorn,Civril,Undirected,1,1,2
74,Fifteen,Civril,Undirected,3,1,2
75,Baron,Civril,Undirected,1,1,2
76,Caldemeyn,Stregobor,Undirected,1,1,2
77,Stregobor,Baron,Undirected,1,1,2
78,Caldemeyn,Audoen,Undirected,1,1,2
79,Audoen,Geralt,Undirected,1,1,1
80,Civril,Fifteen,Undirected,1,1,2
81,Civril,Geralt,Undirected,1,1,1
82,Fifteen,Nohorn,Undirected,1,1,2
83,Iola,Geralt,Undirected,1,1,1
84,Yennefer,Iola,Undirected,1,1,1
85,Geralt,Haxo,Undirected,2,1,1
86,Haxo,Pavetta,Undirected,4,1,2
87,Haxo,Calanthe,Undirected,1,1,2
88,Pavetta,Calanthe,Undirected,9,1,2
89,Calanthe,Geralt,Undirected,17,1,1
90,Haxo,Geralt,Undirected,3,1,1
91,Geralt,Rainfarn,Undirected,1,1,1
92,Rainfarn,Windhalm,Undirected,4,1,2
93,Calanthe,Eist,Undirected,8,1,2
94,Calanthe,Pavetta,Undirected,12,1,2
95,Eist,Pavetta,Undirected,2,1,2
96,Eist,Calanthe,Undirected,7,1,2
97,Pavetta,Eist,Undirected,3,1,2
98,Eist,Crach,Undirected,3,1,2
99,Crach,Eist,Undirected,3,1,2
100,Crach,Draig,Undirected,2,1,2
101,Crach,Calanthe,Undirected,1,1,2
102,Draig,Calanthe,Undirected,2,1,2
103,Draig,Eist,Undirected,1,1,2
104,Calanthe,Drogodar,Undirected,1,1,2
105,Eist,Drogodar,Undirected,1,1,2
106,Eist,Vissegerd,Undirected,3,1,2
107,Drogodar,Vissegerd,Undirected,2,1,2
108,Geralt,Drogodar,Undirected,1,1,1
109,Draig,Geralt,Undirected,2,1,1
110,Geralt,Calanthe,Undirected,5,1,1
111,Calanthe,Draig,Undirected,1,1,2
112,Ravix,Haxo,Undirected,2,1,2
113,Pavetta,Vissegerd,Undirected,1,1,2
114,Vissegerd,Geralt,Undirected,3,1,1
115,Crach,Geralt,Undirected,1,1,1
116,Eist,Geralt,Undirected,3,1,1
117,Haxo,Mousesack,Undirected,2,1,2
118,Geralt,Mousesack,Undirected,10,1,1
119,Mousesack,Crach,Undirected,3,1,2
120,Mousesack,Draig,Undirected,2,1,2
121,Mousesack,Calanthe,Undirected,2,1,2
122,Roegner,Geralt,Undirected,2,1,1
123,Geralt,Pavetta,Undirected,4,1,1
124,Calanthe,Roegner,Undirected,2,1,2
125,Roegner,Calanthe,Undirected,4,1,2
126,Pavetta,Crach,Undirected,2,1,2
127,Crach,Vissegerd,Undirected,1,1,2
128,Vissegerd,Pavetta,Undirected,1,1,2
129,Pavetta,Geralt,Undirected,6,1,1
130,Geralt,Eist,Undirected,2,1,1
131,Draig,Rainfarn,Undirected,1,1,2
132,Pavetta,Roegner,Undirected,2,1,2
133,Roegner,Pavetta,Undirected,1,1,2
134,Pavetta,Mousesack,Undirected,5,1,2
135,Calanthe,Sir,Undirected,1,1,2
136,Sir,Rumplestelt,Undirected,1,1,2
137,Rumplestelt,Calanthe,Undirected,2,1,2
138,Baron,Calanthe,Undirected,1,1,2
139,Geralt,Roegner,Undirected,1,1,1
140,Geralt,Crach,Undirected,2,1,1
141,Crach,Rainfarn,Undirected,4,1,2
142,Rainfarn,Calanthe,Undirected,4,1,2
143,Rainfarn,Crach,Undirected,1,1,2
144,Calanthe,Crach,Undirected,2,1,2
145,Rainfarn,Pavetta,Undirected,2,1,2
146,Rainfarn,Eist,Undirected,1,1,2
147,Windhalm,Calanthe,Undirected,1,1,2
148,Windhalm,Pavetta,Undirected,1,1,2
149,Windhalm,Eist,Undirected,1,1,2
150,Pavetta,Rainfarn,Undirected,2,1,2
151,Eist,Mousesack,Undirected,2,1,2
152,Crach,Drogodar,Undirected,1,1,2
153,Drogodar,Geralt,Undirected,1,1,1
154,Crach,Mousesack,Undirected,1,1,2
155,Mousesack,Geralt,Undirected,1,1,1
156,Mousesack,Pavetta,Undirected,2,1,2
157,Pavetta,Draig,Undirected,1,1,2
158,Calanthe,Rainfarn,Undirected,1,1,2
159,Rainfarn,Mousesack,Undirected,1,1,2
160,Akerspaark,Roegner,Undirected,1,1,2
161,Rainfarn,Geralt,Undirected,1,1,1
162,Nettly,Geralt,Undirected,2,1,1
163,Geralt,Nettly,Undirected,3,1,1
164,Geralt,Dhun,Undirected,7,1,1
165,Dhun,Geralt,Undirected,3,1,1
166,Dhun,Nettly,Undirected,4,1,2
167,Nettly,Dhun,Undirected,3,1,2
168,Lille,Dhun,Undirected,2,1,2
169,Dhun,Lille,Undirected,3,1,2
