Unnamed: 0,Source,Target,Type,Weight,book,group
265,Yennefer,Geralt,Undirected,25,2,1
266,Istredd,Geralt,Undirected,24,2,1
267,Istredd,Yennefer,Undirected,10,2,1
268,Geralt,Yennefer,Undirected,7,2,1
269,Yennefer,Istredd,Undirected,4,2,1
270,Geralt,Herbolth,Undirected,15,2,1
271,Herbolth,Geralt,Undirected,12,2,1
272,Geralt,Seven,Undirected,1,2,1
273,Herbolth,Seven,Undirected,1,2,2
274,Seven,Sir,Undirected,1,2,2
275,Sir,Herbolth,Undirected,1,2,2
276,Istredd,Herbolth,Undirected,5,2,2
277,Herbolth,Istredd,Undirected,2,2,2
278,Geralt,Istredd,Undirected,24,2,1
279,Istredd,Beau,Undirected,1,2,2
280,Yennefer,Beau,Undirected,1,2,1
281,Beau,Istredd,Undirected,1,2,2
282,Vespula,Dandelion,Undirected,3,2,1
283,Vespula,Geralt,Undirected,4,2,1
284,Dandelion,Geralt,Undirected,74,2,1
285,Geralt,Dandelion,Undirected,88,2,1
286,Dandelion,Gar,Undirected,2,2,1
287,Geralt,Gar,Undirected,1,2,1
288,Gar,Dandelion,Undirected,2,2,1
289,Geralt,Dudu,Undirected,10,2,1
290,Dandelion,Dudu,Undirected,3,2,1
291,Dudu,Geralt,Undirected,4,2,1
292,Vimme,Dandelion,Undirected,4,2,1
293,Dandelion,Vimme,Undirected,3,2,1
294,Geralt,Vimme,Undirected,1,2,1
295,Vimme,Geralt,Undirected,2,2,1
296,Dandelion,Vespula,Undirected,4,2,1
297,Dudu,Dandelion,Undirected,1,2,1
298,Dandelion,Little,Undirected,6,2,1
299,Dandelion,Sword,Undirected,4,2,1
300,Little,Sword,Undirected,1,2,2
301,Little,Geralt,Undirected,9,2,1
302,Sword,Geralt,Undirected,2,2,1
303,Geralt,Agloval,Undirected,12,2,1
304,Agloval,Geralt,Undirected,11,2,1
305,Dandelion,Teleri,Undirected,2,2,1
306,Geralt,Teleri,Undirected,1,2,1
307,Geralt,Essi,Undirected,29,2,1
308,Teleri,Geralt,Undirected,1,2,1
309,Teleri,Dandelion,Undirected,1,2,1
310,Teleri,Essi,Undirected,1,2,2
311,Dandelion,Essi,Undirected,11,2,1
312,Essi,Geralt,Undirected,23,2,1
