Unnamed: 0,Source,Target,Type,Weight,book,group
0,Velerad,Geralt,Undirected,1.0,1,1
2,Foltest,Geralt,Undirected,4.5,1,1
10,Geralt,Adda,Undirected,1.5,1,1
5,Ostrit,Geralt,Undirected,4.5,1,1
6,Ostrit,Foltest,Undirected,1.0,1,1
7,Ostrit,Velerad,Undirected,1.0,1,2
8,Foltest,Velerad,Undirected,1.0,1,1
9,Foltest,Adda,Undirected,1.0,1,1
11,Foltest,Two,Undirected,1.0,1,1
206,Nenneke,Yennefer,Undirected,1.5,1,1
14,Geralt,Nenneke,Undirected,12.0,1,1
83,Iola,Geralt,Undirected,2.5,1,1
264,Iola,Nenneke,Undirected,4.5,1,2
19,Geralt,Roach,Undirected,3.5,1,1
18,Two,Geralt,Undirected,2.0,1,1
21,Nivellen,Geralt,Undirected,12.5,1,1
23,Geralt,Fenne,Undirected,1.0,1,1
24,Asse,Geralt,Undirected,2.0,1,1
25,Roach,Vereena,Undirected,2.0,1,2
26,Vereena,Geralt,Undirected,4.0,1,1
27,Vereena,Nivellen,Undirected,2.0,1,2
30,Nenneke,Hereward,Undirected,4.5,1,2
31,Geralt,Hereward,Undirected,3.5,1,1
33,Falwick,Nenneke,Undirected,5.0,1,2
36,Falwick,Geralt,Undirected,4.0,1,1
37,Falwick,Hereward,Undirected,2.5,1,2
39,Caldemeyn,Geralt,Undirected,6.5,1,1
40,Stregobor,Count,Undirected,1.0,1,2
46,Geralt,Stregobor,Undirected,6.0,1,1
42,Geralt,Eltibald,Undirected,1.0,1,1
43,Stregobor,Fredefalk,Undirected,2.0,1,2
45,Fredefalk,Geralt,Undirected,1.5,1,1
48,Renfri,Fredefalk,Undirected,2.0,1,2
49,Nohorn,Geralt,Undirected,1.0,1,1
50,Nohorn,Tavik,Undirected,1.0,1,2
51,Civril,Tavik,Undirected,3.0,1,2
53,Fifteen,Tavik,Undirected,1.0,1,2
55,Renfri,Civril,Undirected,2.5,1,2
57,Tavik,Renfri,Undirected,1.0,1,2
58,Tavik,Caldemeyn,Undirected,1.0,1,2
60,Caldemeyn,Renfri,Undirected,2.5,1,2
71,Renfri,Geralt,Undirected,9.5,1,1
70,Audoen,Renfri,Undirected,2.5,1,2
78,Caldemeyn,Audoen,Undirected,1.5,1,2
65,Libushe,Geralt,Undirected,1.5,1,1
69,Stregobor,Renfri,Undirected,6.0,1,2
79,Audoen,Geralt,Undirected,1.5,1,1
68,Stregobor,Audoen,Undirected,1.0,1,2
82,Fifteen,Nohorn,Undirected,1.0,1,2
73,Nohorn,Civril,Undirected,1.0,1,2
80,Civril,Fifteen,Undirected,2.0,1,2
75,Baron,Civril,Undirected,1.0,1,2
76,Caldemeyn,Stregobor,Undirected,1.0,1,2
77,Stregobor,Baron,Undirected,1.0,1,2
81,Civril,Geralt,Undirected,1.0,1,1
84,Yennefer,Iola,Undirected,1.0,1,1
90,Haxo,Geralt,Undirected,2.5,1,1
86,Haxo,Pavetta,Undirected,4.0,1,2
87,Haxo,Calanthe,Undirected,1.0,1,2
94,Calanthe,Pavetta,Undirected,10.5,1,2
110,Geralt,Calanthe,Undirected,11.0,1,1
161,Rainfarn,Geralt,Undirected,1.0,1,1
92,Rainfarn,Windhalm,Undirected,4.0,1,2
96,Eist,Calanthe,Undirected,7.5,1,2
97,Pavetta,Eist,Undirected,2.5,1,2
99,Crach,Eist,Undirected,3.0,1,2
100,Crach,Draig,Undirected,2.0,1,2
144,Calanthe,Crach,Undirected,1.5,1,2
111,Calanthe,Draig,Undirected,1.5,1,2
103,Draig,Eist,Undirected,1.0,1,2
104,Calanthe,Drogodar,Undirected,1.0,1,2
