,Unnamed: 0,Source,Target,Type,Weight,book,group
0,424,Ciri,Geralt,Undirected,53.0,3,1
2,426,Baron,Dandelion,Undirected,2.5,3,1
3,427,Dandelion,Geralt,Undirected,14.5,3,1
4,428,Dandelion,Yennefer,Undirected,9.5,3,1
5,429,Geralt,Yennefer,Undirected,19.5,3,1
10,434,Geralt,Baron,Undirected,1.0,3,1
11,435,Dandelion,Sheldon,Undirected,2.0,3,1
12,436,Dandelion,Donimir,Undirected,1.0,3,1
13,437,Sheldon,Donimir,Undirected,1.5,3,2
15,439,Donimir,Two,Undirected,1.0,3,2
16,440,Two,Dandelion,Undirected,3.0,3,1
17,441,Calanthe,Dandelion,Undirected,1.5,3,1
19,443,Sheldon,Baron,Undirected,1.0,3,2
22,446,Little,Dandelion,Undirected,1.0,3,1
23,447,Dandelion,Rience,Undirected,24.0,3,1
25,449,Ciri,Dandelion,Undirected,3.0,3,1
26,450,Rience,Ciri,Undirected,1.0,3,1
29,453,Rience,Geralt,Undirected,15.0,3,1
30,454,Dandelion,Sir,Undirected,1.0,3,1
31,455,Sir,Rience,Undirected,1.0,3,2
33,457,Rience,Yennefer,Undirected,3.0,3,1
34,458,King,Dandelion,Undirected,3.5,3,1
35,459,Yennefer,Calanthe,Undirected,2.0,3,1
36,460,Geralt,Calanthe,Undirected,2.0,3,1
38,462,Calanthe,Rience,Undirected,1.0,3,2
41,465,Ciri,Yennefer,Undirected,62.0,3,1
42,466,Ciri,Roach,Undirected,1.5,3,1
43,467,Eskel,Ciri,Undirected,5.0,3,1
45,469,Eskel,Roach,Undirected,1.5,3,1
48,472,Ciri,Lambert,Undirected,14.0,3,1
50,474,Ciri,Vesemir,Undirected,13.0,3,1
51,475,Vesemir,Geralt,Undirected,7.0,3,1
52,476,Triss,Ciri,Undirected,66.0,3,1
54,478,Geralt,Triss,Undirected,39.0,3,1
56,480,Triss,Lambert,Undirected,7.0,3,1
57,481,Lambert,Vesemir,Undirected,4.0,3,1
60,484,Triss,Vesemir,Undirected,11.5,3,1
63,487,Lambert,Geralt,Undirected,6.0,3,1
64,488,Triss,Yennefer,Undirected,5.5,3,1
66,490,Ciri,Two,Undirected,2.0,3,1
67,491,Ciri,Calanthe,Undirected,3.5,3,1
68,492,Vesemir,Eskel,Undirected,1.5,3,1
69,493,Eskel,Triss,Undirected,4.0,3,1
72,496,Eskel,Geralt,Undirected,1.5,3,1
74,498,Nenneke,Ciri,Undirected,14.0,3,1
75,499,Ciri,Vanielle,Undirected,1.0,3,1
76,500,Triss,Vanielle,Undirected,1.0,3,2
79,503,Geralt,Ori,Undirected,1.0,3,1
80,504,Ciri,Ori,Undirected,1.0,3,1
82,506,Beau,Ciri,Undirected,1.0,3,1
83,507,Eskel,Lambert,Undirected,1.0,3,1
86,510,Yennefer,Vanielle,Undirected,1.0,3,1
88,512,Vanielle,Geralt,Undirected,1.0,3,1
90,514,Two,Triss,Undirected,1.0,3,2
91,515,Triss,Forest,Undirected,1.0,3,2
92,516,Forest,Geralt,Undirected,1.5,3,1
93,517,Geralt,Yarpen,Undirected,11.0,3,1
95,519,Triss,Yarpen,Undirected,5.0,3,2
96,520,Yarpen,Ciri,Undirected,18.0,3,1
98,522,Triss,King,Undirected,1.0,3,2
99,523,Ciri,King,Undirected,1.5,3,1
100,524,King,Geralt,Undirected,3.0,3,1
101,525,Xavier,Yarpen,Undirected,1.0,3,2
102,526,Xavier,Regan,Undirected,1.0,3,2
103,527,Yarpen,Regan,Undirected,1.0,3,2
104,528,Yannick,Yarpen,Undirected,1.0,3,2
105,529,Paulie,Xavier,Undirected,1.0,3,2
107,531,Paulie,Yannick,Undirected,1.0,3,2
108,532,Yannick,Ciri,Undirected,1.5,3,1
109,533,Yennefer,Yarpen,Undirected,1.0,3,1
112,536,King,Yarpen,Undirected,2.0,3,2
114,538,Paulie,Yarpen,Undirected,3.0,3,2
115,539,Paulie,Triss,Undirected,1.0,3,2
